ACC,F1,FDR,FN,FNR,FP,FPR,G,MCC,MODEL,NGENES,NGENES_AFFECTED,NMARKERS,NMARKERS_CAUSAL,NPV,NSAMPLES,PPV,REP,RSS,S2,TN,TNR,TP,TPR,TRANS
0.998989898989899,0.6666666666666666,0.5,0,0.0,1,0.0010111223458038423,0.7071067811865476,0.7067492050417165,Poisson,100,1,10,1,1.0,50,0.5,6,0.9232627552380643,2,988,0.9989888776541962,1,1.0,none
,,,0,,0,,,,Binomial,100,1,10,1,,50,,6,,2,0,,0,,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,NBinomial,100,1,10,1,1.0,50,1.0,7,0.0,2,979,1.0,1,1.0,none
,,,0,,0,,,,Poisson,100,1,10,1,,50,,7,,2,0,,0,,none
,,,0,,0,,,,Binomial,100,1,10,1,,50,,7,,2,0,,0,,none
,,,0,,0,,,,NBinomial,100,1,10,1,,50,,8,,2,0,,0,,none
,,,0,,0,,,,Poisson,100,1,10,1,,50,,8,,2,0,,0,,none
0.997979797979798,,1.0,1,1.0,1,0.0010111223458038423,0.0,-0.0010111223458038423,Binomial,100,1,10,1,0.9989888776541962,50,0.0,8,,2,988,0.9989888776541962,0,0.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,NBinomial,100,1,10,1,1.0,50,1.0,9,0.0,2,999,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Poisson,100,1,10,1,1.0,50,1.0,9,0.0,2,999,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Binomial,100,1,10,1,1.0,50,1.0,9,0.0,2,999,1.0,1,1.0,none
,,,0,,0,,,,NBinomial,100,1,10,1,,50,,10,,2,0,,0,,none
,,,0,,0,,,,Poisson,100,1,10,1,,50,,10,,2,0,,0,,none
,,,0,,0,,,,Binomial,100,1,10,1,,50,,10,,2,0,,0,,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,NBinomial,100,1,10,1,1.0,50,1.0,1,0.0,4,999,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Poisson,100,1,10,1,1.0,50,1.0,1,0.0,4,999,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Binomial,100,1,10,1,1.0,50,1.0,1,0.0,4,999,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,NBinomial,100,1,10,1,1.0,50,1.0,2,0.0,4,979,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Poisson,100,1,10,1,1.0,50,1.0,2,0.0,4,979,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Binomial,100,1,10,1,1.0,50,1.0,2,0.0,4,979,1.0,1,1.0,none
,,,0,,0,,,,NBinomial,100,1,10,1,,50,,3,,4,0,,0,,none
0.9979591836734694,,1.0,1,1.0,1,0.0010214504596527069,0.0,-0.0010214504596527069,Poisson,100,1,10,1,0.9989785495403473,50,0.0,3,,4,978,0.9989785495403473,0,0.0,none
0.9581632653061225,0.046511627906976744,0.9761904761904762,0,0.0,41,0.04187946884576098,0.1543033499620919,0.1510377224368484,Binomial,100,1,10,1,1.0,50,0.023809523809523808,3,0.20149447205841337,4,938,0.958120531154239,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,NBinomial,100,1,10,1,1.0,50,1.0,4,0.0,4,979,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Poisson,100,1,10,1,1.0,50,1.0,4,0.0,4,979,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Binomial,100,1,10,1,1.0,50,1.0,4,0.0,4,979,1.0,1,1.0,none
,,,0,,0,,,,NBinomial,100,1,10,1,,50,,5,,4,0,,0,,none
,,,0,,0,,,,Poisson,100,1,10,1,,50,,5,,4,0,,0,,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Binomial,100,1,10,1,1.0,50,1.0,5,0.0,4,989,1.0,1,1.0,none
,,,0,,0,,,,NBinomial,100,1,10,1,,50,,6,,4,0,,0,,none
,,,0,,0,,,,Poisson,100,1,10,1,,50,,6,,4,0,,0,,none
,,,0,,0,,,,Binomial,100,1,10,1,,50,,6,,4,0,,0,,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,NBinomial,100,1,10,1,1.0,50,1.0,7,0.0,4,989,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Poisson,100,1,10,1,1.0,50,1.0,7,0.0,4,989,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Binomial,100,1,10,1,1.0,50,1.0,7,0.0,4,989,1.0,1,1.0,none
,,,0,,0,,,,NBinomial,100,1,10,1,,50,,8,,4,0,,0,,none
,,,0,,0,,,,Poisson,100,1,10,1,,50,,8,,4,0,,0,,none
,,,0,,0,,,,Binomial,100,1,10,1,,50,,8,,4,0,,0,,none
,,,0,,0,,,,NBinomial,100,1,10,1,,50,,9,,4,0,,0,,none
,,,0,,0,,,,Poisson,100,1,10,1,,50,,9,,4,0,,0,,none
,,,0,,0,,,,Binomial,100,1,10,1,,50,,9,,4,0,,0,,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,NBinomial,100,1,10,1,1.0,50,1.0,10,0.0,4,989,1.0,1,1.0,none
,,,0,,0,,,,Poisson,100,1,10,1,,50,,10,,4,0,,0,,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Binomial,100,1,10,1,1.0,50,1.0,10,0.0,4,989,1.0,1,1.0,none
