ACC	F1	FDR	FN	FNR	FP	FPR	G	MCC	MODEL	NPV	NSAMPLES	PPV	REP	RSS	TN	TNR	TP	TPR	TRANS
0.998130605027	0.195652173913	0.307692307692	70	0.886075949367	4	0.000101250442971	0.280838915736	0.280355231532	Binomial	0.998231072475	226	0.692307692308	1	6.87529268818	39502	0.999898749557	9	0.113924050633	none
0.997951596996	0.242990654206	0.535714285714	66	0.835443037975	15	0.000380093249544	0.276408116116	0.275591650958	Binomial	0.998329748197	226	0.464285714286	10	1.87624269969	39449	0.99961990675	13	0.164556962025	none
0.998169476013	0.294117647059	0.347826086957	64	0.810126582278	8	0.000203800886534	0.351895566636	0.351267388241	Binomial	0.998371915543	226	0.652173913043	100	2.14025872718	39246	0.999796199113	15	0.189873417722	none
0.998074229692	0.114942528736	0.375	74	0.936708860759	3	7.5178549054e-05	0.198889321044	0.198476587267	Binomial	0.998148889334	226	0.625	11	36.4225822975	39902	0.999924821451	5	0.0632911392405	none
0.99801162435	0.315789473684	0.485714285714	61	0.772151898734	17	0.000434238422437	0.342314217508	0.341469989705	Binomial	0.998443599622	226	0.514285714286	12	0.705126985143	39132	0.999565761578	18	0.227848101266	none
0.998075998076	0.191489361702	0.4	70	0.886075949367	6	0.00015219927959	0.261446802198	0.260885833888	Binomial	0.998227219774	226	0.6	13	4.67426680623	39416	0.99984780072	9	0.113924050633	none
0.998046528148	0.237623762376	0.454545454545	67	0.848101265823	10	0.000254207127968	0.287843455729	0.287153776173	Binomial	0.998299276558	226	0.545454545455	14	5.61596067581	39328	0.999745792872	12	0.151898734177	none
0.998255064107	0.342857142857	0.307692307692	61	0.772151898734	8	0.000202716399757	0.397166203477	0.396546653832	Binomial	0.998456360554	226	0.692307692308	15	2.35715104415	39456	0.9997972836	18	0.227848101266	none
0.998240056318	0.255319148936	0.2	67	0.848101265823	3	7.55762690515e-05	0.348595736264	0.348141754275	Binomial	0.998314846953	226	0.8	16	9.25658940405	39692	0.999924423731	12	0.151898734177	none
0.998180163785	0.357142857143	0.393939393939	59	0.746835443038	13	0.000329238951501	0.391705329075	0.390968246111	Binomial	0.998507500443	226	0.606060606061	17	1.7557632214	39472	0.999670761048	20	0.253164556962	none
0.997978557355	0.0705882352941	0.5	76	0.962025316456	3	7.69191323522e-05	0.137794563652	0.137386942257	Binomial	0.998055022393	226	0.5	18	25.7536839542	38999	0.999923080868	3	0.0379746835443	none
0.998008520507	0.233009708738	0.5	67	0.848101265823	12	0.000303106845163	0.275589127305	0.274848353182	Binomial	0.998310001261	226	0.5	19	2.32117732838	39578	0.999696893155	12	0.151898734177	none
0.998141450673	0.177777777778	0.272727272727	71	0.898734177215	3	7.54963887561e-05	0.271381412621	0.270947360054	Binomial	0.998216304484	226	0.727272727273	2	30.8485187882	39734	0.999924503611	8	0.101265822785	none
0.998165558358	0.357142857143	0.393939393939	59	0.746835443038	13	0.000331886647945	0.391705329075	0.3909623226	Binomial	0.998495512036	226	0.606060606061	20	0.39076976445	39157	0.999668113352	20	0.253164556962	none
0.998256915498	0.241758241758	0.0833333333333	68	0.860759493671	1	2.53126107427e-05	0.357263391354	0.356895934521	Binomial	0.998281656685	226	0.916666666667	21	7.63210021505	39505	0.999974687389	11	0.139240506329	none
0.997880233174	0.236363636364	0.58064516129	66	0.835443037975	18	0.000455143117225	0.262693277928	0.26180787066	Binomial	0.998333164966	226	0.41935483871	22	2.60377809841	39530	0.999544856883	13	0.164556962025	none
0.998126629706	0.244897959184	0.368421052632	67	0.848101265823	7	0.000177565826188	0.309735439752	0.309138203145	Binomial	0.998303024163	226	0.631578947368	23	3.90618886312	39415	0.999822434174	12	0.151898734177	none
0.998229775181	0.313725490196	0.304347826087	63	0.79746835443	7	0.000177376849787	0.375355271079	0.374760734356	Binomial	0.998405870445	226	0.695652173913	24	2.74743617474	39457	0.99982262315	16	0.20253164557	none
0.998048607415	0.20618556701	0.444444444444	69	0.873417721519	8	0.000203148806501	0.265185761392	0.264555351132	Binomial	0.998250551457	226	0.555555555556	25	8.12107082249	39372	0.999796851193	10	0.126582278481	none
0.998100303951	0.157303370787	0.3	72	0.911392405063	3	7.61401994873e-05	0.249048823438	0.248617219576	Binomial	0.998175829744	226	0.7	26	42.9603886183	39398	0.999923859801	7	0.0886075949367	none
0.998100303951	0.257425742574	0.409090909091	66	0.835443037975	9	0.000228420598462	0.311830410373	0.311172560632	Binomial	0.998327335395	226	0.590909090909	27	5.34417665389	39392	0.999771579402	13	0.164556962025	none
0.99801162435	0.290909090909	0.483870967742	63	0.79746835443	15	0.000383151549209	0.323314803604	0.322505504166	Binomial	0.998392734138	226	0.516129032258	28	0.856143864735	39134	0.999616848451	16	0.20253164557	none
0.998120634921	0.288461538462	0.4	64	0.810126582278	10	0.000254478827362	0.337526370278	0.336842636114	Binomial	0.998373570521	226	0.6	29	1.87981786899	39286	0.999745521173	15	0.189873417722	none
0.997936253153	0.21359223301	0.541666666667	68	0.860759493671	13	0.000331886647945	0.252623366696	0.251844476479	Binomial	0.998266411727	226	0.458333333333	3	4.47327223055	39157	0.999668113352	11	0.139240506329	none
0.997630512879	0.0	1.0	79	1.0	14	0.000357416390094	0.0	-0.000848328288376	Binomial	0.997986491653	226	0.0	30	nan	39156	0.99964258361	0	0.0	none
0.998222222222	0.222222222222	0.0909090909091	69	0.873417721519	1	2.54478827362e-05	0.339226765776	0.338865499022	Binomial	0.998247129357	226	0.909090909091	31	8.04211775841	39295	0.999974552117	10	0.126582278481	none
