ACC,F1,FDR,FN,FNR,FP,FPR,G,MCC,MODEL,NGENES,NGENES_AFFECTED,NMARKERS,NMARKERS_CAUSAL,NPV,NSAMPLES,PPV,REP,RSS,SIZE,TN,TNR,TP,TPR,TRANS
0.9981,0.17391304347826084,0.0,19,0.9047619047619048,0,0.0,0.3086066999241838,0.3083133254652272,Normal,100,1,100,1,0.9980996199239848,1000,1.0,3,32.2039193739658,2.0,9979,1.0,2,0.09523809523809523,blom
,,,0,,0,,,,Normal,100,1,100,1,,1000,,4,,2.0,0,,0,,log
,,,0,,0,,,,Normal,100,1,100,1,,1000,,4,,2.0,0,,0,,boxcox
,,,0,,0,,,,Normal,100,1,100,1,,1000,,4,,2.0,0,,0,,blom
0.9985,0.4444444444444445,0.0,15,0.7142857142857143,0,0.0,0.5345224838248488,0.5341212006543822,Normal,100,1,100,1,0.9984990994596759,1000,1.0,5,3.0027585396673486,2.0,9979,1.0,6,0.2857142857142857,log
0.9983,0.37037037037037035,0.16666666666666666,16,0.7619047619047619,1,0.0001002104419280489,0.44543540318737396,0.444913664719856,Normal,100,1,100,1,0.9983990394236542,1000,0.8333333333333334,5,2.054168647110685,2.0,9978,0.9998997895580719,5,0.23809523809523808,boxcox
0.9984,0.3846153846153846,0.0,16,0.7619047619047619,0,0.0,0.4879500364742666,0.4875593247419328,Normal,100,1,100,1,0.9983991995998,1000,1.0,5,4.140401597509233,2.0,9979,1.0,5,0.23809523809523808,blom
,,,0,,0,,,,Normal,100,1,100,1,,1000,,6,,2.0,0,,0,,log
,,,0,,0,,,,Normal,100,1,100,1,,1000,,6,,2.0,0,,0,,boxcox
,,,0,,0,,,,Normal,100,1,100,1,,1000,,6,,2.0,0,,0,,blom
,,,0,,0,,,,Normal,100,1,100,1,,1000,,7,,2.0,0,,0,,log
,,,0,,0,,,,Normal,100,1,100,1,,1000,,7,,2.0,0,,0,,boxcox
,,,0,,0,,,,Normal,100,1,100,1,,1000,,7,,2.0,0,,0,,blom
,,,0,,0,,,,Normal,100,1,100,1,,1000,,8,,2.0,0,,0,,log
,,,0,,0,,,,Normal,100,1,100,1,,1000,,8,,2.0,0,,0,,boxcox
,,,0,,0,,,,Normal,100,1,100,1,,1000,,8,,2.0,0,,0,,blom
0.9988,0.6,0.0,12,0.5714285714285714,0,0.0,0.6546536707079771,0.6542604065531196,Normal,100,1,100,1,0.9987989190271244,1000,1.0,9,0.40565017573769413,2.0,9979,1.0,9,0.42857142857142855,log
0.9981,0.17391304347826084,0.0,19,0.9047619047619048,0,0.0,0.3086066999241838,0.3083133254652272,Normal,100,1,100,1,0.9980996199239848,1000,1.0,9,57.11047356894428,2.0,9979,1.0,2,0.09523809523809523,boxcox
0.9987,0.5517241379310345,0.0,13,0.6190476190476191,0,0.0,0.6172133998483676,0.6168117592503085,Normal,100,1,100,1,0.9986989591673339,1000,1.0,9,0.5639331260971829,2.0,9979,1.0,8,0.38095238095238093,blom
0.9984,0.3846153846153846,0.0,16,0.7619047619047619,0,0.0,0.4879500364742666,0.4875593247419328,Normal,100,1,100,1,0.9983991995998,1000,1.0,10,3.3495502869592526,2.0,9979,1.0,5,0.23809523809523808,log
,,,0,,0,,,,Normal,100,1,100,1,,1000,,10,,2.0,0,,0,,boxcox
0.9984,0.3846153846153846,0.0,16,0.7619047619047619,0,0.0,0.4879500364742666,0.4875593247419328,Normal,100,1,100,1,0.9983991995998,1000,1.0,10,3.8602508386956735,2.0,9979,1.0,5,0.23809523809523808,blom
0.9985,0.4444444444444445,0.0,15,0.7142857142857143,0,0.0,0.5345224838248488,0.5341212006543822,Normal,100,1,100,1,0.9984990994596759,1000,1.0,1,1.9163917893757454,3.0,9979,1.0,6,0.2857142857142857,log
0.9982,0.25,0.0,18,0.8571428571428571,0,0.0,0.3779644730092272,0.3776240495969411,Normal,100,1,100,1,0.9981994598379513,1000,1.0,1,13.66652636663907,3.0,9979,1.0,3,0.14285714285714285,boxcox
0.9983,0.32,0.0,17,0.8095238095238095,0,0.0,0.4364357804719847,0.436064503688091,Normal,100,1,100,1,0.9982993197278912,1000,1.0,1,6.27866917887553,3.0,9979,1.0,4,0.19047619047619047,blom
0.9981,0.17391304347826084,0.0,19,0.9047619047619048,0,0.0,0.3086066999241838,0.3083133254652272,Normal,100,1,100,1,0.9980996199239848,1000,1.0,2,31.944744154747546,3.0,9979,1.0,2,0.09523809523809523,log
