ACC	F1	FDR	FN	FNR	FP	FPR	G	MCC	MODEL	NPV	NSAMPLES	PPV	REP	RSS	TN	TNR	TP	TPR	TRANS
0.998711633194	0.135593220339	0.555555555556	46	0.92	5	0.000126470216264	0.188561808316	0.188166171034	Binomial	0.998837679402	226	0.444444444444	1	2.9661935921	39530	0.999873529784	4	0.08	none
0.998558531219	0.173913043478	0.684210526316	44	0.88	13	0.000329172258375	0.194665705357	0.194055570496	Binomial	0.998886752353	226	0.315789473684	10	0.968016330046	39480	0.999670827742	6	0.12	none
0.998855922508	0.262295081967	0.272727272727	42	0.84	3	7.63689127612e-05	0.341121146169	0.340789202011	Binomial	0.998931895631	226	0.727272727273	100	7.47235900858	39280	0.999923631087	8	0.16	none
0.9987494998	0.21875	0.5	43	0.86	7	0.000175289227225	0.264575131106	0.264124839809	Binomial	0.998924193145	226	0.5	11	7.3671305155	39927	0.999824710773	7	0.14	none
0.998674416233	0.365853658537	0.53125	35	0.7	17	0.000433916994231	0.375	0.374371612701	Binomial	0.99910705174	226	0.46875	12	0.47880777224	39161	0.999566083006	15	0.3	none
0.998759525075	0.169491525424	0.444444444444	45	0.9	4	0.000101391599706	0.235702260396	0.235341019147	Binomial	0.998860528715	226	0.555555555556	13	7.11751792396	39447	0.9998986084	5	0.1	none
0.998325595555	0.0833333333333	0.863636363636	47	0.94	19	0.000482637742271	0.0904534033733	0.0896939076221	Binomial	0.998806955197	226	0.136363636364	14	1.8358682096	39348	0.999517362258	3	0.06	none
0.998760842627	0.222222222222	0.461538461538	43	0.86	6	0.000151925657711	0.274562589193	0.274136252843	Binomial	0.998912218568	226	0.538461538462	15	12.8097571898	39487	0.999848074342	7	0.14	none
0.998893749686	0.371428571429	0.35	37	0.74	7	0.000176215889639	0.411096095822	0.410662434918	Binomial	0.999069276048	226	0.65	16	0.937205566693	39717	0.99982378411	13	0.26	none
0.998887877869	0.435897435897	0.392857142857	33	0.66	11	0.000278382345498	0.454344111251	0.453845782122	Binomial	0.999165317685	226	0.607142857143	17	0.551446156682	39503	0.999721617655	17	0.34	none
0.998746193803	0.109090909091	0.4	47	0.94	2	5.12413210013e-05	0.18973665961	0.189465431624	Binomial	0.998797215682	226	0.6	18	17.7150207166	39029	0.999948758679	3	0.06	none
0.998739569941	0.193548387097	0.5	44	0.88	6	0.000151442489715	0.244948974278	0.244522606506	Binomial	0.998890485917	226	0.5	19	3.87873218123	39613	0.99984855751	6	0.12	none
0.998819570022	0.253968253968	0.384615384615	42	0.84	5	0.000125735552985	0.313785816221	0.31339346502	Binomial	0.998944803156	226	0.615384615385	2	5.64069245115	39761	0.999874264447	8	0.16	none
0.998573212056	0.243243243243	0.625	41	0.82	15	0.000382662823031	0.259807621135	0.259169357959	Binomial	0.998954748247	226	0.375	20	1.23008424861	39184	0.999617337177	9	0.18	none
0.998484274346	0.0909090909091	0.8125	47	0.94	13	0.000328822562287	0.106066017178	0.105439406451	Binomial	0.998812201471	226	0.1875	21	2.08145112869	39522	0.999671177438	3	0.06	none
0.998763469352	0.30985915493	0.47619047619	39	0.78	10	0.000252672006468	0.339467369917	0.338953327462	Binomial	0.999015300712	226	0.52380952381	22	2.20816471383	39567	0.999747327994	11	0.22	none
0.998734209261	0.242424242424	0.5	42	0.84	8	0.000202783199412	0.282842712475	0.282362591162	Binomial	0.998936304926	226	0.5	23	2.62183077752	39443	0.999797216801	8	0.16	none
0.998887287257	0.352941176471	0.333333333333	38	0.76	6	0.000151925657711	0.4	0.399584937472	Binomial	0.999038583175	226	0.666666666667	24	1.42983870152	39487	0.999848074342	12	0.24	none
0.998808890241	0.298507462687	0.411764705882	40	0.8	7	0.000177624400518	0.342997170285	0.342549156397	Binomial	0.998985852644	226	0.588235294118	25	4.83136102161	39402	0.999822375599	10	0.2	none
0.998657548126	0.0701754385965	0.714285714286	48	0.96	5	0.000126806999746	0.106904496765	0.106507531255	Binomial	0.998783978922	226	0.285714285714	26	24.7538668962	39425	0.999873193	2	0.04	none
0.998581560284	0.2	0.65	43	0.86	13	0.000329698199341	0.221359436212	0.220754174031	Binomial	0.9989102889	226	0.35	27	0.892174721562	39417	0.999670301801	7	0.14	none
0.998597940247	0.266666666667	0.6	40	0.8	15	0.000382867936087	0.282842712475	0.282211228448	Binomial	0.998979669923	226	0.4	28	0.426074816365	39163	0.999617132064	10	0.2	none
0.9984	0.16	0.76	44	0.88	19	0.000483153210426	0.169705627485	0.168968645154	Binomial	0.998881829733	226	0.24	29	1.3956204546	39306	0.99951684679	6	0.12	none
0.998726082193	0.358974358974	0.5	36	0.72	14	0.000357151968162	0.374165738677	0.373583654168	Binomial	0.999082124372	226	0.5	3	0.629229224498	39185	0.999642848032	14	0.28	none
0.998496776988	0.169014084507	0.714285714286	44	0.88	15	0.000382662823031	0.185164019955	0.184505321135	Binomial	0.998878352197	226	0.285714285714	30	1.22490453051	39184	0.999617337177	6	0.12	none
0.998577777778	0.2	0.65	43	0.86	13	0.000330578512397	0.221359436212	0.220752558605	Binomial	0.998907381527	226	0.35	31	1.76376312104	39312	0.999669421488	7	0.14	none
0.998728802786	0.107142857143	0.5	47	0.94	3	7.63689127612e-05	0.173205080757	0.17288782592	Binomial	0.998804892313	226	0.5	32	31.6469187901	39280	0.999923631087	3	0.06	none
0.998712316316	0.190476190476	0.538461538462	44	0.88	7	0.000176964303772	0.235339362166	0.234882479779	Binomial	0.998888692446	226	0.461538461538	33	16.8464474074	39549	0.999823035696	6	0.12	none
