NSAMPLES	MODEL	TRANS	REP	R2	X2	X2p	X2c	nMSE	PCC	RHO
430	Binomial	none	1	0.0	271.445941321	282.640341572	282.863210374	0.451294222457	0.97289541155	0.848961058829
430	Binomial	none	10	1.0	335.125254196	349.292444604	349.592872135	0.451504499678	0.971365232765	0.845758128031
430	Binomial	none	100	0.0	199.312345105	207.830171241	208.154494729	0.438970295827	0.975383106761	0.853805882829
430	Binomial	none	11	1.0	175.873465328	181.639673086	181.757586327	0.424747685862	0.977457203405	0.861533616317
430	Binomial	none	12	1.0	207.074286854	214.640768926	214.807516979	0.411931470747	0.977470394325	0.863751655728
430	Binomial	none	13	1.0	250.309184616	259.447954958	259.553364579	0.438626758287	0.9741283877	0.854043129082
430	Binomial	none	14	1.0	661.935997069	670.720978641	670.839862823	0.441899458024	0.973900568251	0.850157178185
430	Binomial	none	15	1.0	161.962717913	168.380895078	168.314777262	0.420745583722	0.978154364191	0.859786965428
430	Binomial	none	16	1.0	221.756414508	229.534525515	229.618822594	0.443269123767	0.972521740299	0.853619336768
430	Binomial	none	17	0.0	236.716263809	245.452158533	245.859524608	0.461471487398	0.969897058108	0.845497739318
430	Binomial	none	18	1.0	288.379073044	300.454270032	300.717069738	0.443989784969	0.97344058936	0.849012642131
430	Binomial	none	19	1.0	442.640448362	450.623840827	450.772493375	0.448602124147	0.972228289108	0.847783167911
430	Binomial	none	2	1.0	218.716182063	226.775610579	226.973880461	0.429310715337	0.974860989846	0.856673093564
430	Binomial	none	20	1.0	289.570748274	300.993501161	301.353192301	0.431320474953	0.975783552196	0.853804129669
430	Binomial	none	21	1.0	166.738026328	172.329846949	172.256224646	0.427931453511	0.976375156807	0.852074567009
430	Binomial	none	22	1.0	303.314236783	312.911175615	313.05471337	0.437439873834	0.972192265394	0.852520833025
430	Binomial	none	23	1.0	209.654798381	218.447787493	218.669167419	0.413322178922	0.974975524286	0.862663878812
430	Binomial	none	24	1.0	196.488097602	203.010868779	203.132423954	0.416571936757	0.976383874046	0.861286872269
430	Binomial	none	25	1.0	212.199184749	219.944302003	220.195647054	0.413454828339	0.977542313642	0.867143905574
430	Binomial	none	26	1.0	172.791355607	180.284857577	180.418155859	0.440055578574	0.977114101647	0.853389462357
430	Binomial	none	27	1.0	243.32018783	252.934869201	253.279606422	0.451967734373	0.97050018186	0.844242089418
430	Binomial	none	28	0.0	291.253105101	302.879767769	303.301949648	0.435266386993	0.972153456043	0.853982990593
430	Binomial	none	29	0.0	220.708662004	229.492192365	229.80108813	0.435387332607	0.975111797385	0.855087022263
430	Binomial	none	3	0.0	250.992827492	260.816853042	261.19044814	0.431895850877	0.971248924492	0.856183389548
430	Binomial	none	30	1.0	238.763678376	247.541942489	247.711051119	0.406716996921	0.975928547687	0.868317270061
430	Binomial	none	31	0.0	139.275744871	144.353044341	144.666530433	0.425524411916	0.976066106281	0.857248195909
430	Binomial	none	32	1.0	195.233776246	203.014648975	203.24117572	0.441538343791	0.97442482284	0.853537922471
430	Binomial	none	33	1.0	202.591571748	210.225776379	210.475584049	0.424642417779	0.974749020588	0.857944191794
430	Binomial	none	34	1.0	233.301134507	242.069361966	242.201844528	0.44533489318	0.974532983887	0.850700803166
430	Binomial	none	35	1.0	231.353129311	240.169315868	240.340672383	0.422402204008	0.974223777924	0.85836008265
430	Binomial	none	36	1.0	160.658513635	167.171279513	167.278650783	0.427008867105	0.976687109389	0.857912618491
430	Binomial	none	37	0.0	277.513526909	287.058527415	287.395082125	0.414312685599	0.974222174039	0.861868280137
430	Binomial	none	38	1.0	307.116121199	319.030151483	319.154191907	0.419484285167	0.975204113991	0.860523757143
430	Binomial	none	39	1.0	202.643555011	209.084056006	209.351173512	0.440901958594	0.97077552477	0.850570634418
430	Binomial	none	4	1.0	279.895052841	290.095950761	290.317081971	0.457558257871	0.971602713103	0.844566517664
430	Binomial	none	40	1.0	317.082024494	330.713511539	330.957476883	0.422222408404	0.973782443798	0.858639321748
430	Binomial	none	41	1.0	222.101432737	229.941279817	229.982176587	0.42758809593	0.978272684254	0.857733806363
430	Binomial	none	42	1.0	231.827425784	242.181712994	242.425486624	0.422373225318	0.976819473291	0.856475580153
430	Binomial	none	43	1.0	347.570921501	357.761270652	357.591128552	0.447108070461	0.976537645404	0.852621896447
430	Binomial	none	44	1.0	233.481315643	240.611979818	240.637359201	0.427546861854	0.97531308101	0.855316964119
430	Binomial	none	45	1.0	278.737810619	289.296680742	289.533680196	0.433091443127	0.975585901964	0.854805809855
430	Binomial	none	46	1.0	224.481149545	231.333231246	231.278812509	0.420429462802	0.977798975736	0.862112002666
430	Binomial	none	47	1.0	283.17150099	293.386399263	293.719262598	0.439908024006	0.975142904915	0.854230586501
430	Binomial	none	48	1.0	264.501186866	272.527013122	272.657271977	0.435598317559	0.973933540397	0.851993777803
430	Binomial	none	49	1.0	182.579949741	189.098493186	189.361396513	0.436103100019	0.975299642671	0.855362986825
430	Binomial	none	5	0.0	302.459825559	308.95060768	308.781230415	0.436095207847	0.976820079338	0.855744229347
430	Binomial	none	50	1.0	180.710204931	188.44024934	188.6677424	0.447473789042	0.976217062758	0.850998014353
430	Binomial	none	51	1.0	257.392775993	268.045417288	268.375655916	0.426083257688	0.974872048738	0.858383755887
430	Binomial	none	52	1.0	331.140039297	342.604808089	342.924563755	0.44571090764	0.970888998051	0.847596937156
430	Binomial	none	53	0.0	196.612021182	204.149255839	204.284705216	0.431178643982	0.974841440946	0.852981014449
430	Binomial	none	54	1.0	158.803420962	164.206587532	164.359527839	0.45282544645	0.974116099889	0.84541448922
430	Binomial	none	55	1.0	220.701462781	229.884230863	229.94530397	0.423795462657	0.977961945893	0.85698265855
430	Binomial	none	56	1.0	254.790820608	263.989193003	264.171819475	0.419711724753	0.976156694956	0.857910115758
430	Binomial	none	57	1.0	197.44073817	205.730377963	205.904682509	0.437117287797	0.976697083882	0.856039944185
430	Binomial	none	58	1.0	261.120234472	269.797035781	269.920309886	0.436166430861	0.975374025536	0.855533170397
430	Binomial	none	59	0.0	261.955414329	273.665593435	273.827190733	0.424315889774	0.975492908625	0.857963870502
430	Binomial	none	6	0.0	258.164725516	267.879733223	268.164036094	0.425702613585	0.973508677176	0.856843555507
430	Binomial	none	60	0.0	269.540129661	278.16959905	278.295285724	0.417505491124	0.974816481025	0.860061803995
430	Binomial	none	61	1.0	370.248571384	380.46696771	380.486752963	0.443248183508	0.974853983491	0.850898644072
430	Binomial	none	62	1.0	198.850008657	206.471457955	206.595073696	0.429004165246	0.975428940638	0.858165630278
430	Binomial	none	63	1.0	253.493290786	263.85651372	264.230702333	0.422867669903	0.973231842774	0.859112817268
430	Binomial	none	64	1.0	240.11243306	248.511502823	248.775831271	0.425852843808	0.973529053908	0.855738533983
430	Binomial	none	65	1.0	262.129829867	271.413220521	271.488498923	0.424213316794	0.974311870901	0.857423615849
430	Binomial	none	66	1.0	218.550750283	226.768822179	227.029971968	0.424171893826	0.974683740601	0.858033869469
430	Binomial	none	67	1.0	204.213836517	211.653967696	211.957376743	0.419412217121	0.973829610278	0.85903305089
430	Binomial	none	68	1.0	376.699962341	385.505299536	385.425652657	0.440397173324	0.977366580749	0.856714319577
430	Binomial	none	69	1.0	277.792836073	285.089624726	284.935499422	0.442349546997	0.977574041133	0.855647267527
430	Binomial	none	7	1.0	192.205890851	198.655745004	198.940238537	0.421156372629	0.975616188061	0.859818622817
430	Binomial	none	70	1.0	270.596489514	281.055805477	281.304727288	0.430680795449	0.97384674688	0.855028881359
430	Binomial	none	71	1.0	261.565167231	270.261465536	270.446415755	0.429918406947	0.973472980495	0.855279864441
430	Binomial	none	72	1.0	237.475844271	245.441387658	245.415012227	0.416177699446	0.976023593751	0.859416347525
430	Binomial	none	73	1.0	381.021387825	394.121064693	394.332250803	0.431897515073	0.974261748809	0.855297687866
430	Binomial	none	74	1.0	235.424078374	243.566184533	243.817238834	0.420494329723	0.9761051542	0.85869751753
430	Binomial	none	75	1.0	179.805656538	186.630375758	186.906313218	0.444024572202	0.974054783696	0.852835542545
430	Binomial	none	76	1.0	218.850013964	226.058946563	226.014942793	0.443863295346	0.9745415899	0.848413832637
