ACC	F1	FDR	FN	FNR	FP	FPR	G	MCC	MODEL	NPV	NSAMPLES	PPV	REP	RSS	TN	TNR	TP	TPR	TRANS
0.999670017261	0.133333333333	0.909090909091	3	0.75	10	0.000253858651503	0.150755672289	0.150615972665	Binomial	0.999923828869	226	0.0909090909091	34	0.349634424886	39382	0.999746141348	1	0.25	none
0.999264668594	0.121212121212	0.931034482759	2	0.5	27	0.000684688340011	0.185695338177	0.185499861371	Binomial	0.999949250171	226	0.0689655172414	35	0.87277579496	39407	0.99931531166	2	0.5	none
0.999115826702	0.0	1.0	4	1.0	31	0.000783204062555	0.0	-0.000281431209296	Binomial	0.999898872428	226	0.0	36	nan	39550	0.999216795937	0	0.0	none
0.999822695035	0.222222222222	0.8	3	0.75	4	0.000101327388793	0.22360679775	0.223518998871	Binomial	0.999924002533	226	0.2	37	0.311066695269	39472	0.999898672611	1	0.25	none
0.998980865755	0.0	1.0	4	1.0	36	0.000917314307555	0.0	-0.000305896173701	Binomial	0.999897993013	226	0.0	38	nan	39209	0.999082685692	0	0.0	none
0.999442162381	0.0	1.0	4	1.0	18	0.000456458893341	0.0	-0.000215214992466	Binomial	0.999898528666	226	0.0	39	nan	39416	0.999543541107	0	0.0	none
0.999647639183	0.0	1.0	4	1.0	10	0.000251711639146	0.0	-0.000159208441495	Binomial	0.999899300136	226	0.0	4	nan	39718	0.999748288361	0	0.0	none
0.999517974478	0.0952380952381	0.941176470588	3	0.75	16	0.000405957425215	0.121267812518	0.12109086622	Binomial	0.999923857868	226	0.0588235294118	40	0.633510649518	39397	0.999594042575	1	0.25	none
0.999447166729	0.0	1.0	4	1.0	18	0.000452363599809	0.0	-0.000213283769998	Binomial	0.999899439375	226	0.0	41	nan	39773	0.9995476364	0	0.0	none
0.99946638207	0.16	0.904761904762	2	0.5	19	0.000482846251588	0.218217890236	0.218054265882	Binomial	0.999949152111	226	0.0952380952381	42	1.07460784088	39331	0.999517153748	2	0.5	none
0.999673325795	0.0	1.0	4	1.0	9	0.000226181799905	0.0	-0.000150797341238	Binomial	0.999899462122	226	0.0	43	nan	39782	0.9997738182	0	0.0	none
0.999592999593	0.111111111111	0.928571428571	3	0.75	13	0.000330721481632	0.133630620956	0.133470821533	Binomial	0.999923660237	226	0.0714285714286	44	0.431173289236	39295	0.999669278518	1	0.25	none
0.999721081191	0.153846153846	0.888888888889	3	0.75	8	0.000202870619263	0.166666666667	0.166541978195	Binomial	0.999923913871	226	0.111111111111	45	0.222783288766	39426	0.999797129381	1	0.25	none
0.99959473151	0.111111111111	0.928571428571	3	0.75	13	0.000329314013578	0.133630620956	0.133471501681	Binomial	0.999923985202	226	0.0714285714286	46	0.350129031119	39463	0.999670685986	1	0.25	none
0.999390150938	0.0	1.0	4	1.0	20	0.000508259212198	0.0	-0.000227346654845	Binomial	0.999898306808	226	0.0	47	nan	39330	0.999491740788	0	0.0	none
